paper_id	venue	authors	year	title	index_keys	author_keys	abstract
NE65	International Conference on Data Mining	S. Sahar	2001	Interestingness preprocessing	overfitting + data mining + task-independent methods + interestingness pre-processing + knowledge discovery + importance sampling + interestingness analysis framework + transition + database size + potentially interesting patterns + rule mining + very large databases + user-independent methods + domain-independent methods	AuthorProvided Keywords Not Found	As the size of databases increases, the number of rules mined from them also increases, often to an extent that overwhelms users. To address this problem, an important part of the knowledge discovery in databases (KDD) process is dedicated to determining which of these patterns is interesting. In this paper, we define the interestingness pre-processing (IPP) step and introduce a new framework for interestingness analysis. In a similar fashion to data pre-processing, this pre-processing should always be applied prior to interestingness processing. A strict requirement, and the biggest challenge, in defining IPP techniques is that the pre-processing does not eliminate any potentially interesting patterns. That is, the pre-processing methods must be domain-, task- and user-independent. This property differentiates the pre-processing methods from existing interestingness criteria and, since they can be applied automatically, makes them very useful. This generic nature also makes them rare: pre-processing methods are very challenging to define. We define the first two IPP techniques (overfitting and transition) and present empirical results of applying them to six databases. The results indicate that the IPP step is very powerful: in most cases, an average of half the rules mined were eliminated by the application of the two IPP techniques. These results are particularly significant since no user interaction is required to achieve them
7E1F6EC4	International Conference on Data Mining	d cooke + l de braal + ernest v garcia + edward omiecinski + c e ordonez + norberto f ezquerra + elizabeth g krawczynska + cesar a santana + javier taboada	2001	Mining constrained association rules to predict heart disease	transaction processing + association rule + transaction format + data analysis + data mining + association rules + diseases + medical information systems + heart disease prediction + cardiology + medical data + biomedical imaging + medical computing + constrained association rule mining	AuthorProvided Keywords Not Found	This work describes our experiences in discovering association rules in medical data to predict heart disease. We focus on two aspects of this work: mapping medical data to a transaction format suitable for mining association rules, and identifying useful constraints. Based on these aspects we introduce an improved algorithm to discover constrained association rules. We present an experimental section explaining several interesting discovered rules
NE12	International Conference on Data Mining	H. M. Jamil	2001	Ad hoc association rule mining as SQL3 queries	query processing + ad hoc association rule mining + object-oriented databases + data mining + item set patterns + aggregation + join query + relational databases + object relational database + SQL3 queries + SQL + large item set	AuthorProvided Keywords Not Found	Although there have been several encouraging attempts at developing methods for data mining using SQL, simplicity and efficiency still remain significant impediments for further development. In this paper, we propose a significantly new approach and show that any object relational database can be mined for association rules without any restructuring or preprocessing using only basic SQL3 constructs and functions, and hence no additional machinery is necessary. In particular, we show that the cost of computing association rules for a given database does not depend on support and confidence thresholds. More precisely, the set of large items can be computed using one simple join query and an aggregation once the set of all possible meets (least fixpoint) of item set patterns in the input table is known. The principal focus of this paper is to demonstrate that several SQL3 expressions exists for the mining of association rules
737FF8BE	International Conference on Data Mining	shoji hirano + shusaku tsumoto	2001	Indiscernibility degree of objects for evaluating simplicity of knowledge in the clustering procedure	rough sets + classification knowledge simplicity evaluation + data mining + clustering procedure + iterative refinement + set theory + scalability + equivalence relations + threshold level + simple clusters + clustering algorithms + very large databases + rough set + coarse classification + databases + data analysis + algorithm design and analysis + equivalence class + sections + biomedical informatics + pattern clustering + indiscernibility degree + equivalence relation + coarse clusters + rough set-based clustering method + rough set theory + equivalence classes + artificial data	AuthorProvided Keywords Not Found	The paper presents a novel, rough set-based clustering method that enables the evaluation of classification knowledge simplicity during the clustering procedure. The method iteratively refines equivalence relations so that they become a more simple set of relations that give adequate coarse classification to the objects. At each step of the iteration, the importance of the equivalence relation is evaluated on the basis of the newly introduced measure, indiscernibility degree. An indiscernibility degree is defined as a ratio of equivalence relations that classify the two objects into the same equivalence class. If an equivalence relation has the ability to discern two objects that have a high indiscernibility degree, a very fine classification is performed and then modified to regard them as indiscernible objects. The refinement is repeated, decreasing the threshold level of indiscernibility degree, and finally simple clusters can be obtained. Experimental results on the artificial data shows that iterative refinement of equivalence relation leads to successful generation of coarse clusters that can be represented by simple knowledge
8076F0DE	International Conference on Data Mining	jamil saquer + jitender s deogun + sherri k harms + tsegaye tadesse	2001	Discovering representative episodal association rules from event sequences using frequent closed episode sets and event constraints	association rule + data mining + association rules + automated weather stations + event sequences + representative episodal association rule discovery + multiple climatology datasets + government + clustering algorithms + time series data + event constraints + frequent itemsets + risk management + pattern analysis + hydrology + geophysics computing + time series + frequent closed episode sets + transactions + formal concept analysis + decision support systems + time measurement + decision support system + climatology + drought risk management decision support system	AuthorProvided Keywords Not Found	Discovering association rules from time-series data is an important data mining problem. The number of potential rules grows quickly as the number of items in the antecedent grows. It is therefore difficult for an expert to analyze the rules and identify the useful. An approach for generating representative association rules for transactions that uses only a subset of the set of frequent itemsets called frequent closed itemsets was presented by Saquer and Deogun (2000). We employ formal concept analysis to develop the notion of frequent closed episodes. The concept of representative association rules is formalized in the context of event sequences. Applying constraints to target highly, significant rules further reduces the number of rules. Our approach results in a significant reduction of the number of rules generated, while maintaining the minimum set of relevant association rules and retaining the ability to generate the entire set of association rules with respect to the given constraints. We show how our method can be used to discover associations in a drought risk management decision support system and use multiple climatology datasets related to automated weather stations
7DAE398E	International Conference on Data Mining	michael j anderson	2001	Knowledge discovery from diagrammatically represented data	artificial intelligent + autonomous artificially intelligent agent + database languages + gray scale + data mining + information retrieval + diagrammatic data mining + diagrammatic information + diagrams + knowledge discovery + Diagrammatic SQL + software agents + sql + SQL + intelligent agent + knowledge representation + diagrammatically represented data + information systems + visual programming	AuthorProvided Keywords Not Found	Knowledge discovery from diagrammatic data can be facilitated by a language that permits queries on such data. Such a language (Diagrammatic SQL) is being developed to expedite the development of an autonomous artificial intelligent agent with a capacity to deal with diagrammatic information. This language is described and examples of how it can be used to facilitate diagrammatic data mining are detailed
7080AFC1	International Conference on Data Mining	yueshi lee + showjane yen	2001	An efficient data mining technique for discovering interesting sequential patterns	databases + sequential pattern discovery + user requests + customer transactions + information management + data mining + high level languages + interested items + data mining language + interesting sequential pattern discovery + sequential purchasing behavior discovery + computer science + very large databases + data mining technique + petroleum + bismuth + retail data processing	AuthorProvided Keywords Not Found	Mining sequential patterns is used to discover sequential purchasing behaviors of most customers from a large amount of customer transactions. A data mining language is presented. From the data mining language, users can specify the interested items and the criteria of the sequential patterns to be discovered. Also, an efficient data mining technique is proposed to extract sequential patterns according to user requests
7E575401	International Conference on Data Mining	g richards + v j raywardsmith	2001	Discovery of association rules in tabular data	association rule + data analysis + association rule discovery + ARA algorithm + satisfiability + data mining + testing + association rules + dense miner algorithm + information systems + tabular data + constraints	AuthorProvided Keywords Not Found	In this paper we address the problem of finding all association rules in tabular data. An algorithm, ARA, for finding rules, that satisfy clearly specified constraints, in tabular data is presented. ARA is based on the dense miner algorithm but includes an additional constraint and an improved method of calculating support. ARA is tested and compared with our implementation of dense miner; it is concluded that ARA is usually more efficient than dense miner and is often considerably more so. We also consider the potential for modifying the constraints used in ARA in order to find more general rules
6E6F54C1	International Conference on Data Mining	katia lida kermanidis + manolis maragoudakis + nikolaos fakotakis + george k kokkinakis	2001	Learning automatic acquisition of subcategorization frames using Bayesian inference and support vector machines	learning automata + bayesian belief network + feedforward backpropagation neural networks + computational linguistics + Modern Greek + natural language human computer interaction systems + bayesian methods + phrase chunking + decision table + corpora + morphological tagging + belief networks + Bayesian inference + support vector machines + robustness + automatic verb subcategorization frame acquisition + machine learning methods + performance evaluation + machine learning + inference mechanisms + decision tables + vector quantisation + Bayesian belief network learning + support vector machine + backpropagation + learning vector quantization + minimal linguistic resources + natural languages + human computer interaction + natural language + bayesian inference + feedforward neural nets	AuthorProvided Keywords Not Found	Learning Bayesian belief networks (BBN) from corpora and support vector machines (SVM) have been applied to the automatic acquisition of verb subcategorization frames for Modern Greek. We are incorporating minimal linguistic resources, i.e. basic morphological tagging and phrase chunking, to demonstrate that verb subcategorization, which is of great significance for developing robust natural language human computer interaction systems, could be achieved using large corpora, without having any general-purpose, syntactic parser at all. In addition, apart from BBN and SVM, which have not previously used for this task, we have experimented with three well-known machine learning methods (feedforward backpropagation neural networks, learning vector quantization and decision tables), which are also being applied to the task of verb subcategorization frame defection for the first time. We argue that both BBN and SVM are well suited for learning to identify verb subcategorization frames. Empirical results will support this claim. Performance has been methodically evaluated using two different corpora types, one balanced and one domain-specific in order to determine the unbiased behaviour of the trained models. Limited training data are proved to endow with satisfactory results. We have been able to achieve precision exceeding 80% on the identification of subcategorization frames which were not known beforehand
7E0EDDBF	International Conference on Data Mining	s noel + vijay v raghavan + cheehung henry chu	2001	Visualizing association mining results through hierarchical clusters	search engines + visualization + web pages + data mining + information retrieval + hypermedia + hypertext documents + itemset supports + hierarchical clusters + Science Citation Index + hierarchical clustering dendrograms + directed graphs + association mining results visualization + inter-item distances + link mining + www + WWW + directed graph + citation analysis + hierarchical clustering + frequently occurring itemsets + information systems + collection link structure + information spaces	AuthorProvided Keywords Not Found	We propose a new methodology for visualizing association mining results. Inter-item distances are computed from combinations of itemset supports. The new distances retain a simple pairwise structure, and are consistent with important frequently occurring itemsets. Thus standard tools of visualization, e.g. hierarchical clustering dendrograms can still be applied, while the distance information upon which they are based is richer. Our approach is applicable to general association mining applications, as well as applications involving information spaces modeled by directed graphs, e.g. the Web. In the context of collections of hypertext documents, the inter-document distances capture the information inherent in a collection's link structure, a form of link mining. We demonstrate our methodology with document sets extracted from the Science Citation Index, applying a metric that measures consistency between clusters and frequent itemsets
NE108	International Conference on Data Mining	Xiong Wang	2001	α-surface and its application to mining protein data	pattern classification + biology computing + protein data mining + surface structures + data mining + proteins + α-surface extraction algorithm + pattern discovery + molecular biophysics + 3D Euclidean space + finite points set + protein classification	AuthorProvided Keywords Not Found	Given a finite set of points in three dimensional Euclidean space R3, the subset that forms its surface could be different when observed at different levels of detail. In this paper we introduce a notion called α-surface. We present an algorithm that extracts the α-surface from a finite set of points in R3. We apply the algorithm to extracting the α-surfaces of proteins and discover patterns from these surface structures using a pattern discovery algorithm. We then use these patterns to classify the proteins. Experimental results demonstrate the good performance of the proposed approach
7E2B176C	International Conference on Data Mining	tom fawcett	2001	Using rule sets to maximize ROC performance	categorical classifications + pattern classification + decision theory + ROC performance maximization + rule sets + sensitivity analysis + data mining + probability + skewed class distributions + robustness + association rules + classification accuracy + machine learning + scoring performance maximization + learning artificial intelligence + optimisation + classification rule learning + performance index + instance scores + receiver operating characteristic + learning (artificial intelligence) + unequal error costs + errors	AuthorProvided Keywords Not Found	Rules are commonly used for classification because they are modular intelligible and easy to learn. Existing work in classification rule learning assumes the goal is to produce categorical classifications to maximize classification accuracy. Recent work in machine learning has pointed out the limitations of classification accuracy: when class distributions are skewed or error costs are unequal, an accuracy-maximizing rule set can perform poorly. A more flexible use of a rule set is to produce instance scores indicating the likelihood that an instance belongs to a given class. With such an ability, we can apply rule sets effectively when distributions are skewed or error costs are unequal. This paper empirically investigates different strategies for evaluating rule sets when the goal is to maximize the scoring (ROC) performance
7F87A1CF	International Conference on Data Mining	weicheng lai + kwangting cheng + edward chang + beitao li	2001	Mining image features for efficient query processing	efficient query processing + divide and conquer methods + concept learning + data mining + image similarity measurement + indexation + neural networks + degradation + image analysis + divide-and-conquer method + feature groupings + minimized intra-group feature correlation + image query concept learning + database indexing + feature extraction + divide and conquer + search speed + indexing + multimedia databases + image features + genetic algorithms + content-based retrieval + genetic-based mining algorithm + image feature mining + decision trees + image retrieval	AuthorProvided Keywords Not Found	The number of features required to depict an image can be very large. Using all features simultaneously to measure image similarity and to learn image query-concepts can suffer from the problem of dimensionality curse, which degrades both search accuracy and search speed. Regarding search accuracy, the presence of irrelevant features with respect to a query can contaminate similarity measurement, and hence decrease both the recall and precision of that query. To remedy this problem, we present a mining method that learns online users' query concepts and identifies important features quickly. Regarding search speed, the presence of a large number of features can slow down query-concept learning and indexing performance. We propose a divide-and-conquer method that divides the concept-learning task into G subtasks to achieve speedup. We notice that a task must be divided carefully, or search accuracy may suffer. We thus propose a genetic-based mining algorithm to discover good feature groupings. Through analysis and mining results, we observe that organizing image features in a multi-resolution manner and minimizing intra-group feature correlation, can speed up query-concept learning substantially while maintaining high search accuracy
7F6EEDCC	International Conference on Data Mining	pierreyves rolland	2001	FIExPat: flexible extraction of sequential patterns	amino acid sequences + sequential databases + data representation + amino acid + data mining + music data + amino acids + sequential data mining + computational efficiency + temporal data + temporal data sequences + sequences + regularity detection + chronological series + music + strings + proteins + flexible sequential pattern extraction + macromolecule banks + proteic sequences + pattern recognition + edit distance + multimedia data + data analysis + algorithm design and analysis + multimedia databases + FlExPat + sequence segment similarity + similarity metrics + daily stock indices + segment repetition + finance	AuthorProvided Keywords Not Found	This paper addresses sequential data mining, a sub-area of data mining where the data to be analyzed is organized in sequences. In many problem domains a natural ordering exists over data. Examples of sequential databases (SDBs) include: (a) collections of temporal data sequences, such as chronological series of daily stock indices or multimedia data (sound, music, video, etc.); and (b) macromolecule banks, where amino acid or proteic sequences are represented as strings. In a SDB it is often valuable to detect regularities through one or several sequences. In particular, finding exact or approximate repetitions of segments can be utilized directly (e.g. for determining the biochemical activity of a protein region) or indirectly, e.g. for prediction in finance. To this end, we present concepts and an algorithm for automatically extracting sequential patterns from a sequential database. Such a pattern is defined as a group of significantly similar segments from one or several sequences. Appropriate functions for measuring similarity between sequence segments are proposed, generalizing the edit distance framework. There is a trade off between flexibility, particularly in sequence data representation and in associated similarity metrics, and computational efficiency. We designed the FlExPat algorithm to satisfactorily cope with this trade-off. FlExPat's complexity is in practice lesser than quadratic in the total length of the SDB analyzed, while allowing high flexibility. Some experimental results obtained with FlExPat on music data are presented and commented
7D7CBFB8	International Conference on Data Mining	meiliu lu + quoc luan ha + du zhang	2001	Mining California vital statistics data	data mining + decision making process + Cubist + cause of death + knowledge discovery + data mining tool + health issues + predictive models + computer science + demography + very large databases + decision-making process + social sciences computing + policy-making process + health care + data preprocessing + prediction model + causes of death + data mining project + testing + information services + California vital statistics data mining + statistical analysis + government data processing + statistics	AuthorProvided Keywords Not Found	Vital statistics data offer a fertile ground for data mining. The authors discuss the results of a data mining project on the causes of death aspect of the vital statistics data in the state of California. A data mining tool called Cubist is used to build predictive models out of two million cases over a nine-year period. The objective of our study is to discover knowledge that can be used to gain insight into various aspects of mortality in California, to predict health issues related to the causes of death, to offer an aid to decision- or policy-making processes, and to provide useful information services to the customers. The results obtained in our study contain valuable new information
7E477A22	International Conference on Data Mining	joaquim c g esteves da silva + agra coelho + gabriel pereira lopes + joao mexia	2001	Document clustering and cluster topic extraction in multilingual corpora	instruction sets + document handling + data mining + document clustering + probability + relevant expressions + document classification features + cluster topic extraction + principal components analysis + agriculture + model-based clustering analysis + pattern clustering + feature extraction + statistics-based approach + dispersion + multilingual corpora + principal component analysis	AuthorProvided Keywords Not Found	A statistics-based approach for clustering documents and for extracting cluster topics is described relevant (meaningful) expressions (REs) automatically extracted from corpora are used as clustering base features. These features are transformed and its number is strongly reduced in order to obtain a small set of document classification features. This is achieved on the basis of principal components analysis. Model-based clustering analysis finds the best number of clusters. Then, the most important REs are extracted from each cluster and taken as document cluster topics
80A66633	International Conference on Data Mining	jose l balcazar + osamu watanabe + yang dai	2001	Provably fast training algorithms for support vector machines	learning automata + data analysis algorithms + biomedical engineering + data mining + provably fast training algorithms + random sampling + learning artificial intelligence + quasilinear time bound + classifying hyperplane + kernels + learning (artificial intelligence) + sampling methods + data analysis + feature space + support vector machines + kernel + space technology + data points + upper bound + convex programming + convex quadratic programming + randomized algorithm + quadratic programming + SVM algorithms + randomised algorithms + support vector machine + quasilinear + random sampling techniques + linear time + dual formulation + expected running time	AuthorProvided Keywords Not Found	Support vector machines are a family of data analysis algorithms based on convex quadratic programming. We focus on their use for classification: in that case, the SVM algorithms work by maximizing the margin of a classifying hyperplane in a feature space. The feature space is handled by means of kernels if the problems are formulated in dual form. Random sampling techniques successfully used for similar problems are studied. The main contribution is a randomized algorithm for training SVMs, for which we can formally prove an upper bound on the expected running time that is quasilinear on the number of data points. To our knowledge, this is the first algorithm for training SVMs in dual formulation and with kernels for which such a quasilinear time bound has been formally proved
72621A92	International Conference on Data Mining	aijun an + yuanyuan wang	2001	Comparisons of classification methods for screening potential compounds	highly skewed class distribution + pharmaceutical industry + down sampling + classification methods + data mining + imbalanced data set + performance measures + chemical compounds + learning artificial intelligence + computer science + training data + throughput + learning (artificial intelligence) + high temperature superconductors + pattern classification + drug design + testing + data set + drug design problem + predictive performance + down-sampling + potential compound screening + chemical structures + global techniques + pruning techniques + molecular structure + up-sampling + chemistry computing + active compounds + molecular structure-activity relationships + chemical structure + local learning methods + statistical methods + statistics	AuthorProvided Keywords Not Found	We compare a number of data mining and statistical methods on the drug design problem of modeling molecular structure-activity relationships. The relationships can be used to identify active compounds based on their chemical structures from a large inventory of chemical compounds. The data set of this application has a highly skewed class distribution, in which only 2% of the compounds are considered active. We apply a number of classification methods to this extremely imbalanced data set and propose to use different performance measures to evaluate these methods. We report our findings on the characteristics of the performance measures, the effect of using pruning techniques in this application and a comparison of local learning methods with global techniques. We also investigate whether reducing the imbalance in the training data by up-sampling or down-sampling would improve the predictive performance
5D4CBDFE	International Conference on Data Mining	richard wherry + sam steingold + gregory piatetskyshapiro	2001	Measuring real-time predictive models	prediction model + cost + data mining + accuracy + predictive models + timeliness + time measurement + real-time systems + real time systems + real-time predictive model measurement + real time + bank data processing + real-time attrition problem	AuthorProvided Keywords Not Found	In this paper we examine the problem of comparing real-time predictive models and propose a number of measures for selecting the best model, based on a combination of accuracy, timeliness, and cost. We apply the measure to the real-time attrition problem
7D4DA335	International Conference on Data Mining	viviane crestana jensen + nandit soparkar	2001	Heuristic optimization for decentralized frequent itemset counting	merging + data mining + algebra + query processing + decentralized frequent itemset counting + heuristic techniques + database system + optimisation + heuristic programming + computer science + distributed algorithms + demography + very large databases + cost function + decentralized data mining + heuristic optimization + database systems + heuristic approach	AuthorProvided Keywords Not Found	The choices for mining of decentralized data are numerous, and we have developed techniques to enumerate and optimize decentralized frequent itemset counting. We introduce our heuristic approach to improve the performance of such techniques developed in ways similar to query processing in database systems. We also describe empirical results that validate our heuristic techniques
